"actor","gender"
"Robert Horwell","male"
"Ron Hightower","male"
"Salomé Stévenin","female"
"Shinichi Ishihara","male"
"Sun Honglei","male"
"Sūn Hóngléi","male"
"Troy Titus-Adams","female"
"Tsui Siu-Ming","male"
"Tsui Siu-ming","male"
"Ceoi4 Siu2 Ming4","male"
"Xú2 Xiǎo3 Míng2","male"
"徐小明","male"
"Wang Yuqing","male"
"Wáng Yùqīng","male"
"王昱青","male"
"William Marlowe","male"
"Amanda Davin","female"
"Ellen Andrée","female"
"Gabrielle Robinne","female"
"Miyako Yamaguchi","female"
"A.B. Imeson","male"
"Anabel Barnston","female"
"Anna-Lisa Baude","female"
"Arne Lindblad","male"
"Barbro Flodquist","female"
"Berta Hall","female"
"Birgit Tengroth","female"
"Britta Brunius","female"
"Chan Hung-lit","male"
"Chan Hung Lit","male"
"Can4 Hung4 Lit6","male"
"Chén Hóng Lié","male"
"陈鸿烈","male"
"陳鴻烈","male"
"Curt Löwgren","male"
"Curt Masreliez","male"
"Dagmar Ebbesen","female"
"Dagmar Olsson","female"
"Dean Shek","male"
"Sek6 Tin1","male"
"Shí Tiān","male"
"石天","male"
"Elsie Albiin","female"
"Erik Rosén","male"
"Eve Matheson","female"
"Gabriel Alw","male"
"Ganari Takahashi","male"
"Geoffrey Streatfeild","male"
"Georg Adelly","male"
"Georg Skarstedt","male"
"Gull Natorp","female"
"Gus Dahlström","male"
"Hans Strååt","male"
"Helge Hagerman","male"
"Holly Bodimeade","female"
"Iain Rattray","male"
"Ivar Kåge","male"
"Jenny Tschernichin-Larsson","female"
"Lin Feng-jiao","female"
"Lam4 Fung6 Giu1","female"
"Lín Fèngjiāo","female"
"林凤娇","female"
"林鳳嬌","female"
"Joe Duttine","male"
"John Ekman","male"
"John Melin","male"
"Joseph Caillot","male"
"Julia Cæsar","female"
"Jullan Kindahl","female"
"Kanjūrō Arashi","male"
"Kantarō Suga","male"
"Karl Erik Flens","male"
"Katharine Levy","female"
"Kathleen Worth","female"
"Keith Faulkner","male"
"Kwan Hoi-san","male"
"Herman Kwan Hoi-San","male"
"关海山","male"
"關海山","male"
"Lasse Krantz","male"
"Louis Fan","male"
"Faan6 Siu6-wong4","male"
"Fán Shàohuáng","male"
"樊少皇","male"
"Madison Young","female"
"Magnus Kesster","male"
"Masaya Takatsuka","male"
"Matina Horner","female"
"Maud Hyttenberg","female"
"Mei Ting","female"
"Méi Tíng","female"
"Nina Toussaint-White","female"
"Nine-Christine Jönsson","female"
"Paw Hee-ching","female"
"Baò Qǐjìng","female"
"鮑起靜","female"
"鲍起静","female"
"Richard Lund","male"
"Richard Stirling","male"
"Segol Mann","male"
"Shōji Nakayama","male"
"Signe Wirff","female"
"Stig Johanson","male"
"Takuzo Kawatani","male"
"Thomas H. MacDonald","male"
"Timmy Hung","male"
"洪天明","male"
"Hung4 Tin1 Ming4","male"
"Hóng Tián Míng","male"
"Tony Rohr","male"
"Tor Isedal","male"
"Tora Teje","female"
"Wang Luoyong","male"
"wáng luóyóng","male"
"王洛勇","male"
"Wiktor Andersson","male"
"William Larsson","male"
"Wong Jinglun","male"
"Huáng Jìnglún","male"
"黃靖倫","male"
"黄靖伦","male"
"Yan Ni","female"
"Yán Ní","female"
"闫妮","female"
"Yoshi Katō","male"
"Yōko Mihara","female"
"Albert Delpy","male"
"Alexandra Lamy","female"
"Ann Zacharias","female"
"Anna Polina","female"
"Armelle","female"
"Audrey Lamy","female"
"Douglas Johansson","male"
"Eddie Axberg","male"
"Guillaume Gouix","male"
"Han Ying-chieh","male"
"Han Ying Jie","male"
"Hon Ying Git","male"
"韓英傑","male"
"韩英杰","male"
"Hande Kodja","female"
"Jarl Borssén","male"
"Jesper Salén","male"
"Jun Tazaki","male"
"Lorelei Lee","female"
